name,id,attendance,max,grade,term,class,rgrade,perattend
8,278,17,21,76,1,2,76,80.95238095238095
65,378,18,21,67.4,1,2,67,85.71428571428571
89,76,17,21,42.3,1,2,42,80.95238095238095
139,406,12,21,36.7,1,2,37,57.14285714285714
225,442,16,21,79.8,1,2,80,76.19047619047619
266,129,16,21,79.7,1,2,80,76.19047619047619
287,460,7,21,68,1,2,68,33.33333333333333
289,309,19,21,82.6,1,2,83,90.47619047619048
328,435,21,21,94.4,1,2,94,100
338,328,21,21,97.5,1,2,98,100
370,18,20,21,83.8,1,2,84,95.23809523809523
487,310,19,21,90.5,1,2,90,90.47619047619048
490,254,18,21,90.2,1,2,90,85.71428571428571
50,9,18,20,83.25,2,2,83,90
68,279,17,20,59.2,2,2,59,85
87,387,16,20,80.85,2,2,81,80
162,257,19,20,79.95,2,2,80,95
184,155,20,20,87.6,2,2,88,100
185,137,17,20,90.35,2,2,90,85
252,259,20,20,87.7,2,2,88,100
263,307,13,20,25,2,2,25,65
296,238,18,20,78.1,2,2,78,90
298,389,18,20,80.35,2,2,80,90
299,338,13,20,66,2,2,66,65
329,151,16,20,83,2,2,83,80
348,482,17,20,80.95,2,2,81,85
361,433,15,20,64.75,2,2,65,75
417,330,8,20,19.5,2,2,20,40
428,376,20,20,100,2,2,100,100
465,412,15,20,68.45,2,2,68,75
1,420,19,20,94.625,1,3,95,95
19,66,20,20,80.375,1,3,80,100
58,54,17,20,84.75,1,3,85,85
65,378,18,20,81.125,1,3,81,90
70,341,9,20,20,1,3,20,45
79,463,14,20,61,1,3,61,70
111,248,1,20,33.25,1,3,33,5
115,374,19,20,80.5,1,3,80,95
117,295,18,20,88.75,1,3,89,90
132,244,14,20,71.875,1,3,72,70
139,406,12,20,54.25,1,3,54,60
148,62,17,20,85.625,1,3,86,85
155,308,16,20,84.75,1,3,85,80
156,38,20,20,87.875,1,3,88,100
165,301,18,20,87.875,1,3,88,90
182,247,19,20,80.125,1,3,80,95
196,305,19,20,75.125,1,3,75,95
203,483,7,20,46.875,1,3,47,35
218,468,17,20,84,1,3,84,85
226,2,17,20,82.875,1,3,83,85
228,219,17,20,56,1,3,56,85
230,334,15,20,76.75,1,3,77,75
247,303,14,20,69.375,1,3,69,70
255,256,20,20,93,1,3,93,100
280,436,18,20,90.375,1,3,90,90
282,14,19,20,85.25,1,3,85,95
293,424,20,20,88.125,1,3,88,100
294,324,16,20,82.5,1,3,82,80
296,238,17,20,85.125,1,3,85,85
298,389,18,20,82.75,1,3,83,90
316,255,15,20,55.125,1,3,55,75
322,250,17,20,99.125,1,3,99,85
323,4,19,20,95.625,1,3,96,95
335,455,16,20,72.5,1,3,72,80
341,83,20,20,90.375,1,3,90,100
352,421,11,20,50.25,1,3,50,55.00000000000001
386,177,19,20,79.375,1,3,79,95
389,246,19,20,89.875,1,3,90,95
394,335,17,20,84.625,1,3,85,85
416,393,13,20,53.75,1,3,54,65
438,107,16,20,81,1,3,81,80
454,8,7,20,49.625,1,3,50,35
459,61,19,20,94.75,1,3,95,95
465,412,15,20,90.5,1,3,90,75
469,31,19,20,86.5,1,3,86,95
487,310,17,20,91.625,1,3,92,85
492,352,15,20,81.375,1,3,81,75
6,34,16,18,90.125,5,4,90,88.88888888888889
7,410,16,18,90.1,5,4,90,88.88888888888889
14,190,16,18,86.65,5,4,87,88.88888888888889
30,211,3,18,45.25,5,4,45,16.666666666666664
36,77,15,18,77.375,5,4,77,83.33333333333334
41,267,15,18,70.2,5,4,70,83.33333333333334
95,55,10,18,51.075,5,4,51,55.55555555555556
101,234,16,18,88.35,5,4,88,88.88888888888889
114,351,15,18,97.7,5,4,98,83.33333333333334
115,374,15,18,83.425,5,4,83,83.33333333333334
140,272,14,18,80.1,5,4,80,77.77777777777779
153,398,16,18,89.1,5,4,89,88.88888888888889
158,167,13,18,76.85,5,4,77,72.22222222222221
180,316,17,18,92.025,5,4,92,94.44444444444444
190,353,17,18,91.9,5,4,92,94.44444444444444
193,382,16,18,92.05,5,4,92,88.88888888888889
197,112,16,18,90.3,5,4,90,88.88888888888889
219,361,15,18,90.05,5,4,90,83.33333333333334
246,358,16,18,82.9,5,4,83,88.88888888888889
301,139,14,18,77.075,5,4,77,77.77777777777779
315,491,16,18,59.05,5,4,59,88.88888888888889
328,435,17,18,99.3,5,4,99,94.44444444444444
386,177,16,18,80.7,5,4,81,88.88888888888889
389,246,16,18,69.5,5,4,70,88.88888888888889
396,323,13,18,73.75,5,4,74,72.22222222222221
410,314,16,18,54.15,5,4,54,88.88888888888889
423,364,15,18,81.425,5,4,81,83.33333333333334
429,296,14,18,83.05,5,4,83,77.77777777777779
438,107,14,18,75.525,5,4,76,77.77777777777779
440,479,14,18,85.7,5,4,86,77.77777777777779
442,438,3,18,30.1,5,4,30,16.666666666666664
457,114,18,18,74.725,5,4,75,100
489,23,14,18,79.5,5,4,80,77.77777777777779
493,425,17,18,86.975,5,4,87,94.44444444444444
12,15,17,19,49.6,2,1,50,89.47368421052632
38,458,17,19,79.2,2,1,79,89.47368421052632
60,404,19,19,84.1,2,1,84,100
75,90,17,19,72.8,2,1,73,89.47368421052632
76,227,15,19,85.5,2,1,86,78.94736842105263
84,25,16,19,69.6,2,1,70,84.21052631578947
92,36,18,19,86.4,2,1,86,94.73684210526315
93,133,17,19,62.2,2,1,62,89.47368421052632
94,388,19,19,84.7,2,1,85,100
123,322,18,19,75.5,2,1,76,94.73684210526315
128,401,15,19,85.1,2,1,85,78.94736842105263
134,141,19,19,73.9,2,1,74,100
137,485,14,19,67.9,2,1,68,73.68421052631578
141,432,18,19,66.4,2,1,66,94.73684210526315
143,266,15,19,86.9,2,1,87,78.94736842105263
164,216,19,19,97.2,2,1,97,100
169,37,17,19,82.6,2,1,83,89.47368421052632
175,418,18,19,85.2,2,1,85,94.73684210526315
189,245,19,19,77,2,1,77,100
201,333,17,19,81.2,2,1,81,89.47368421052632
210,313,15,19,75.3,2,1,75,78.94736842105263
222,205,19,19,93.5,2,1,94,100
234,379,18,19,77.9,2,1,78,94.73684210526315
237,311,17,19,89,2,1,89,89.47368421052632
260,332,15,19,75.1,2,1,75,78.94736842105263
273,42,18,19,68.8,2,1,69,94.73684210526315
275,396,18,19,89.4,2,1,89,94.73684210526315
276,447,17,19,85,2,1,85,89.47368421052632
292,128,5,19,11.6,2,1,12,26.31578947368421
314,431,16,19,76.7,2,1,77,84.21052631578947
344,408,19,19,75.5,2,1,76,100
357,231,18,19,73.4,2,1,73,94.73684210526315
364,422,19,19,94.5,2,1,94,100
372,51,17,19,83.1,2,1,83,89.47368421052632
377,416,18,19,83.3,2,1,83,94.73684210526315
380,299,19,19,94.5,2,1,94,100
395,218,19,19,82.3,2,1,82,100
404,96,17,19,74.7,2,1,75,89.47368421052632
407,57,16,19,89.7,2,1,90,84.21052631578947
421,101,16,19,83.7,2,1,84,84.21052631578947
433,348,11,19,14.4,2,1,14,57.89473684210527
452,223,19,19,90.6,2,1,91,100
467,185,19,19,96.5,2,1,96,100
78,82,18,23,75.55,6,2,76,78.26086956521739
99,329,17,23,47.1,6,2,47,73.91304347826086
174,381,21,23,92.1,6,2,92,91.30434782608695
186,321,21,23,69.8,6,2,70,91.30434782608695
198,174,22,23,71.8,6,2,72,95.65217391304348
212,169,23,23,78.1,6,2,78,100
231,150,23,23,95.5,6,2,96,100
235,471,20,23,91.5,6,2,92,86.95652173913044
384,464,21,23,80.75,6,2,81,91.30434782608695
417,330,19,23,69.7,6,2,70,82.6086956521739
449,465,19,23,87.85,6,2,88,82.6086956521739
2,293,19,23,74.225,6,4,74,82.6086956521739
4,98,19,23,35.5,6,4,36,82.6086956521739
9,241,19,23,52.75,6,4,53,82.6086956521739
30,211,18,23,78.875,6,4,79,78.26086956521739
74,125,20,23,64,6,4,64,86.95652173913044
91,336,17,23,58.575,6,4,59,73.91304347826086
98,405,0,23,1,6,4,1,0
103,343,21,23,78.8,6,4,79,91.30434782608695
110,10,18,23,96.9,6,4,97,78.26086956521739
112,26,20,23,82.975,6,4,83,86.95652173913044
120,397,18,23,73.25,6,4,73,78.26086956521739
123,322,20,23,91.45,6,4,91,86.95652173913044
127,173,23,23,64.25,6,4,64,100
144,58,18,23,71.025,6,4,71,78.26086956521739
160,53,20,23,81.4,6,4,81,86.95652173913044
198,174,23,23,90.675,6,4,91,100
200,39,17,23,67.7,6,4,68,73.91304347826086
235,471,21,23,100,6,4,100,91.30434782608695
259,165,20,23,72.875,6,4,73,86.95652173913044
274,291,19,23,87.425,6,4,87,82.6086956521739
277,488,20,23,59.975,6,4,60,86.95652173913044
279,196,20,23,79.25,6,4,79,86.95652173913044
303,477,19,23,65.65,6,4,66,82.6086956521739
305,449,18,23,78.075,6,4,78,78.26086956521739
312,7,23,23,80.625,6,4,81,100
340,197,20,23,77.4,6,4,77,86.95652173913044
353,417,7,23,15,6,4,15,30.434782608695656
356,239,19,23,92.8,6,4,93,82.6086956521739
358,414,19,23,81.025,6,4,81,82.6086956521739
374,261,18,23,66.875,6,4,67,78.26086956521739
381,345,19,23,77.4,6,4,77,82.6086956521739
403,276,21,23,74.25,6,4,74,91.30434782608695
424,285,19,23,82.875,6,4,83,82.6086956521739
431,73,23,23,95,6,4,95,100
436,317,23,23,80.75,6,4,81,100
441,104,20,23,84.825,6,4,85,86.95652173913044
446,252,23,23,87.45,6,4,87,100
453,454,18,23,64.65,6,4,65,78.26086956521739
460,486,20,23,91.625,6,4,92,86.95652173913044
479,120,20,23,84.025,6,4,84,86.95652173913044
480,166,23,23,74.825,6,4,75,100
484,423,21,23,84.725,6,4,85,91.30434782608695
9,241,12,23,26.125,3,4,26,52.17391304347826
18,354,22,23,90.1,3,4,90,95.65217391304348
23,444,23,23,91.2,3,4,91,100
24,274,15,23,58.225,3,4,58,65.21739130434783
52,209,22,23,78.775,3,4,79,95.65217391304348
64,315,21,23,87.1,3,4,87,91.30434782608695
67,160,23,23,90.25,3,4,90,100
102,476,22,23,92.55,3,4,93,95.65217391304348
105,437,22,23,82.675,3,4,83,95.65217391304348
106,41,20,23,68.85,3,4,69,86.95652173913044
116,99,22,23,84.3,3,4,84,95.65217391304348
119,89,23,23,91.35,3,4,91,100
121,467,14,23,54.575,3,4,55,60.86956521739131
133,11,19,23,65.1,3,4,65,82.6086956521739
145,429,23,23,90.45,3,4,90,100
146,469,19,23,77,3,4,77,82.6086956521739
149,145,23,23,90.025,3,4,90,100
159,184,23,23,87.675,3,4,88,100
171,434,20,23,57.475,3,4,57,86.95652173913044
172,28,23,23,61.7,3,4,62,100
176,394,23,23,80.075,3,4,80,100
177,419,23,23,91.1,3,4,91,100
204,286,21,23,81.825,3,4,82,91.30434782608695
210,313,20,23,72.525,3,4,73,86.95652173913044
215,153,20,23,93.225,3,4,93,86.95652173913044
231,150,23,23,98.5,3,4,98,100
232,170,23,23,97.1,3,4,97,100
243,108,5,23,6,3,4,6,21.73913043478261
250,327,23,23,82.85,3,4,83,100
251,156,22,23,87.125,3,4,87,95.65217391304348
258,140,19,23,71.25,3,4,71,82.6086956521739
272,13,23,23,84.775,3,4,85,100
288,109,20,23,54.375,3,4,54,86.95652173913044
297,402,23,23,97.55,3,4,98,100
308,366,21,23,77.25,3,4,77,91.30434782608695
311,29,23,23,96,3,4,96,100
320,187,21,23,62.975,3,4,63,91.30434782608695
345,280,20,23,74.725,3,4,75,86.95652173913044
349,158,20,23,85.95,3,4,86,86.95652173913044
350,60,19,23,75.075,3,4,75,82.6086956521739
363,136,22,23,79.7,3,4,80,95.65217391304348
368,183,22,23,89.85,3,4,90,95.65217391304348
373,16,23,23,75.775,3,4,76,100
378,367,22,23,73.775,3,4,74,95.65217391304348
418,230,20,23,90.1,3,4,90,86.95652173913044
422,357,20,23,78.15,3,4,78,86.95652173913044
430,200,21,23,63.9,3,4,64,91.30434782608695
481,193,21,23,80.15,3,4,80,91.30434782608695
488,198,19,23,60.275,3,4,60,82.6086956521739
17,122,23,23,85.76666667,3,2,86,100
51,459,20,23,62.73333333,3,2,63,86.95652173913044
61,192,19,23,65.7,3,2,66,82.6086956521739
82,368,18,23,78.3452381,3,2,78,78.26086956521739
90,212,23,23,59.7,3,2,60,100
118,188,20,23,80.55,3,2,81,86.95652173913044
125,123,21,23,57.70714286,3,2,58,91.30434782608695
146,469,19,23,71.25,3,2,71,82.6086956521739
215,153,18,23,84.01666667,3,2,84,78.26086956521739
224,428,23,23,59.21666667,3,2,59,100
330,281,23,23,74.31666667,3,2,74,100
355,69,23,23,94.22380952,3,2,94,100
382,144,19,23,63.46190476,3,2,63,82.6086956521739
419,235,19,23,71.66666667,3,2,72,82.6086956521739
448,356,16,23,69.95,3,2,70,69.56521739130434
458,443,17,23,64.75,3,2,65,73.91304347826086
485,439,21,23,73.13095238,3,2,73,91.30434782608695
10,375,0,21,0,7,3,0,0
34,94,18,21,44.7,7,3,45,85.71428571428571
54,208,18,21,91.8,7,3,92,85.71428571428571
69,162,21,21,90.1,7,3,90,100
71,21,18,21,46.2,7,3,46,85.71428571428571
73,175,20,21,90.7,7,3,91,95.23809523809523
81,331,17,21,85.15,7,3,85,80.95238095238095
85,226,16,21,79,7,3,79,76.19047619047619
130,294,19,21,64.45,7,3,64,90.47619047619048
135,283,21,21,83.75,7,3,84,100
167,268,19,21,83.9,7,3,84,90.47619047619048
173,163,21,21,85.4,7,3,85,100
178,290,16,21,79.05,7,3,79,76.19047619047619
188,52,21,21,100.25,7,3,100,100
191,237,18,21,94.75,7,3,95,85.71428571428571
207,228,18,21,54.9,7,3,55,85.71428571428571
208,415,13,21,65.5,7,3,66,61.904761904761905
217,298,15,21,56.1,7,3,56,71.42857142857143
223,484,21,21,40.5,7,3,40,100
261,81,14,21,74.4,7,3,74,66.66666666666666
263,307,14,21,50.5,7,3,50,66.66666666666666
281,426,21,21,92.5,7,3,92,100
330,281,21,21,103.5,7,3,104,100
336,339,20,21,85.3,7,3,85,95.23809523809523
367,134,21,21,78.9,7,3,79,100
375,3,21,21,77.9,7,3,78,100
406,409,17,21,20.5,7,3,20,80.95238095238095
408,113,20,21,89.6,7,3,90,95.23809523809523
439,346,19,21,87.75,7,3,88,90.47619047619048
447,262,21,21,99.35,7,3,99,100
450,251,16,21,87.15,7,3,87,76.19047619047619
455,275,20,21,77.9,7,3,78,95.23809523809523
456,194,19,21,85.25,7,3,85,90.47619047619048
472,363,21,21,94.15,7,3,94,100
125,123,18,22,66.66666667,7,2,67,81.81818181818183
127,173,22,22,55.08333333,7,2,55,100
150,229,16,22,90.25,7,2,90,72.72727272727273
171,434,20,22,80.53333333,7,2,81,90.9090909090909
188,52,22,22,95.6,7,2,96,100
263,307,16,22,44.36666667,7,2,44,72.72727272727273
302,470,19,22,97.43333333,7,2,97,86.36363636363636
325,225,21,22,79.25,7,2,79,95.45454545454545
11,288,19,20,92.09047619,4,1,92,95
20,253,20,20,84.31428571,4,1,84,100
27,359,19,20,86.74761905,4,1,87,95
29,371,19,20,84.85238095,4,1,85,95
31,86,18,20,59.63809524,4,1,60,90
32,473,19,20,96.19047619,4,1,96,95
42,360,18,20,87.59047619,4,1,88,90
44,217,18,20,91.59047619,4,1,92,90
46,93,16,20,81.73333333,4,1,82,80
49,143,19,20,94.34761905,4,1,94,95
55,106,1,20,2.4,4,1,2,5
77,27,20,20,91.67142857,4,1,92,100
86,457,18,20,81.9952381,4,1,82,90
97,97,17,20,93.88571429,4,1,94,85
126,221,16,20,88.0952381,4,1,88,80
157,45,19,20,89.4952381,4,1,89,95
187,466,17,20,86.45238095,4,1,86,85
192,48,19,20,73.44285714,4,1,73,95
209,164,19,20,51.92380952,4,1,52,95
211,236,17,20,87.5,4,1,88,85
244,30,20,20,90.83809524,4,1,91,100
253,395,18,20,75.41428571,4,1,75,90
264,480,20,20,85.48571429,4,1,85,100
291,147,10,20,39.9,4,1,40,50
307,355,16,20,94.87619048,4,1,95,80
309,270,17,20,65.22380952,4,1,65,85
327,271,19,20,85.7,4,1,86,95
346,377,19,20,76.88571429,4,1,77,95
347,448,20,20,99.59047619,4,1,100,100
354,146,16,20,71.64285714,4,1,72,80
385,111,15,20,84.46666667,4,1,84,75
392,148,19,20,79.98095238,4,1,80,95
398,411,20,20,89.2952381,4,1,89,100
401,325,19,20,94.92857143,4,1,95,95
420,43,18,20,89.97619048,4,1,90,90
426,6,18,20,82.08571429,4,1,82,90
432,117,18,20,85.71428571,4,1,86,90
437,92,17,20,88.73333333,4,1,89,85
464,451,18,20,68.28095238,4,1,68,90
466,88,19,20,81.66190476,4,1,82,95
470,152,19,20,86.01904762,4,1,86,95
474,269,20,20,93.92380952,4,1,94,100
33,258,14,21,20.5,4,3,20,66.66666666666666
43,87,4,21,16.5,4,3,16,19.047619047619047
83,132,21,21,73,4,3,73,100
104,263,21,21,84.6,4,3,85,100
107,224,21,21,85.6,4,3,86,100
113,344,12,21,66.4,4,3,66,57.14285714285714
136,249,21,21,76.5,4,3,76,100
166,232,13,21,64.2,4,3,64,61.904761904761905
183,284,19,21,98.5,4,3,98,90.47619047619048
194,487,19,21,91.8,4,3,92,90.47619047619048
202,138,19,21,97.3,4,3,97,90.47619047619048
205,179,3,21,8,4,3,8,14.285714285714285
216,210,21,21,91.8,4,3,92,100
227,440,18,21,39.3,4,3,39,85.71428571428571
240,265,20,21,71.5,4,3,72,95.23809523809523
256,207,20,21,95.5,4,3,96,95.23809523809523
262,157,19,21,67.3,4,3,67,90.47619047619048
268,127,19,21,89.3,4,3,89,90.47619047619048
283,390,19,21,94.5,4,3,94,90.47619047619048
290,46,16,21,68.5,4,3,68,76.19047619047619
304,84,18,21,87.4,4,3,87,85.71428571428571
306,453,18,21,65.8,4,3,66,85.71428571428571
310,47,9,21,62.2,4,3,62,42.857142857142854
313,456,19,21,79.9,4,3,80,90.47619047619048
319,340,21,21,95,4,3,95,100
334,362,21,21,89.4,4,3,89,100
342,176,16,21,64.5,4,3,64,76.19047619047619
343,189,20,21,51.9,4,3,52,95.23809523809523
355,69,21,21,99,4,3,99,100
366,49,21,21,68.2,4,3,68,100
371,369,19,21,77.1,4,3,77,90.47619047619048
376,85,17,21,84.5,4,3,84,80.95238095238095
390,320,18,21,70.7,4,3,71,85.71428571428571
400,342,20,21,79.8,4,3,80,95.23809523809523
402,44,19,21,81.4,4,3,81,90.47619047619048
411,380,19,21,92.9,4,3,93,90.47619047619048
412,56,21,21,81.1,4,3,81,100
415,446,18,21,70.1,4,3,70,85.71428571428571
445,199,21,21,98.8,4,3,99,100
451,384,20,21,74.5,4,3,74,95.23809523809523
473,64,21,21,97.5,4,3,98,100
3,74,21,22,84.5,8,3,84,95.45454545454545
13,233,19,22,94.2,8,3,94,86.36363636363636
16,202,22,22,102.2,8,3,102,100
47,441,19,22,74,8,3,74,86.36363636363636
48,450,19,22,46,8,3,46,86.36363636363636
57,24,21,22,97.3,8,3,97,95.45454545454545
80,115,18,22,65.5,8,3,66,81.81818181818183
96,399,22,22,74.8,8,3,75,100
142,191,20,22,84.6,8,3,85,90.9090909090909
147,59,12,22,70.2,8,3,70,54.54545454545454
151,116,21,22,89.3,8,3,89,95.45454545454545
204,287,22,22,95,8,3,95,100
214,206,20,22,89.6,8,3,90,90.9090909090909
238,481,15,22,15.5,8,3,16,68.18181818181817
241,102,20,22,83.7,8,3,84,90.9090909090909
248,17,19,22,50.8,8,3,51,86.36363636363636
254,171,20,22,69,8,3,69,90.9090909090909
270,33,22,22,92.5,8,3,92,100
278,203,18,22,79.5,8,3,80,81.81818181818183
285,20,21,22,61.6,8,3,62,95.45454545454545
295,273,12,22,39,8,3,39,54.54545454545454
300,289,22,22,83.3,8,3,83,100
321,126,21,22,92.2,8,3,92,95.45454545454545
324,400,19,22,58.5,8,3,58,86.36363636363636
337,240,22,22,89.6,8,3,90,100
351,302,22,22,93.3,8,3,93,100
365,312,19,22,46.8,8,3,47,86.36363636363636
383,215,17,22,44.3,8,3,44,77.27272727272727
387,12,20,22,72,8,3,72,90.9090909090909
393,373,22,22,86,8,3,86,100
399,67,20,22,77.7,8,3,78,90.9090909090909
413,349,19,22,89.7,8,3,90,86.36363636363636
461,403,21,22,74.6,8,3,75,95.45454545454545
462,445,21,22,80,8,3,80,95.45454545454545
471,105,18,22,41,8,3,41,81.81818181818183
478,214,17,22,45.2,8,3,45,77.27272727272727
483,427,21,22,83.8,8,3,84,95.45454545454545
486,168,21,22,75.2,8,3,75,95.45454545454545
494,72,20,22,87.7,8,3,88,90.9090909090909
15,50,16,19,83.05897436,8,1,83,84.21052631578947
35,213,10,19,38.16666667,8,1,38,52.63157894736842
45,300,19,19,93.24102564,8,1,93,100
56,372,18,19,73.62051282,8,1,74,94.73684210526315
62,180,17,19,87.57692308,8,1,88,89.47368421052632
63,118,18,19,83.10769231,8,1,83,94.73684210526315
66,63,18,19,95.29487179,8,1,95,94.73684210526315
88,282,19,19,91.52564103,8,1,92,100
108,130,18,19,88.42820513,8,1,88,94.73684210526315
129,478,19,19,92.74615385,8,1,93,100
138,386,18,19,89.06153846,8,1,89,94.73684210526315
152,19,18,19,91.99230769,8,1,92,94.73684210526315
163,70,18,19,97.37692308,8,1,97,94.73684210526315
168,490,18,19,99.34615385,8,1,99,94.73684210526315
179,385,18,19,87.31025641,8,1,87,94.73684210526315
181,489,15,19,81.60512821,8,1,82,78.94736842105263
195,222,19,19,87.99487179,8,1,88,100
206,121,17,19,81.81025641,8,1,82,89.47368421052632
213,186,19,19,68.06410256,8,1,68,100
229,103,7,19,19.9,8,1,20,36.84210526315789
233,392,19,19,89.32564103,8,1,89,100
239,304,15,19,83.62564103,8,1,84,78.94736842105263
242,182,17,19,87.18205128,8,1,87,89.47368421052632
245,181,15,19,79.60512821,8,1,80,78.94736842105263
249,65,18,19,91.32820513,8,1,91,94.73684210526315
257,79,17,19,86.42564103,8,1,86,89.47368421052632
265,370,16,19,89.68974359,8,1,90,84.21052631578947
267,68,17,19,85.88461538,8,1,86,89.47368421052632
284,142,19,19,85.74358974,8,1,86,100
286,35,14,19,76.22820513,8,1,76,73.68421052631578
317,461,17,19,83.1974359,8,1,83,89.47368421052632
331,201,19,19,91.24615385,8,1,91,100
339,80,15,19,86.14615385,8,1,86,78.94736842105263
360,124,17,19,83.56153846,8,1,84,89.47368421052632
379,242,19,19,96.2974359,8,1,96,100
391,131,14,19,76.75897436,8,1,77,73.68421052631578
397,178,16,19,94.92820513,8,1,95,84.21052631578947
405,264,16,19,85.31538462,8,1,85,84.21052631578947
409,135,19,19,89.25897436,8,1,89,100
414,413,18,19,91.58974359,8,1,92,94.73684210526315
435,326,18,19,95.17435897,8,1,95,94.73684210526315
444,220,17,19,86.82564103,8,1,87,89.47368421052632
477,474,19,19,91.74615385,8,1,92,100
482,475,16,19,52.6,8,1,53,84.21052631578947
